ID,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Accuracy,Time
1,"{'filter_height': 3, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.7953800000000001,200.73620343208313
2,"{'filter_height': 7, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 48, 'pool_size': 1}",0.7723600000000002,195.97734785079956
3,"{'filter_height': 1, 'filter_width': 7, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 3, 'num_filters': 36, 'pool_size': 1}",0.76998,270.3189854621887
4,"{'filter_height': 3, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}",0.7782,246.4298801422119
5,"{'filter_height': 7, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 3, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.8127800000000001,254.32945322990417
6,"{'filter_height': 5, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 3, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.79514,253.47832012176514
7,"{'filter_height': 3, 'filter_width': 7, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.771,186.06789112091064
8,"{'filter_height': 3, 'filter_width': 7, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.81512,334.63944816589355
9,"{'filter_height': 3, 'filter_width': 7, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 3, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 48, 'pool_size': 2}",0.8163400000000001,198.89555597305298
10,"{'filter_height': 7, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}",0.78716,191.14852905273438
11,"{'filter_height': 3, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 36, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 48, 'pool_size': 1}",0.8064600000000001,188.31288719177246
12,"{'filter_height': 3, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 5, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 3, 'num_filters': 24, 'pool_size': 2}",0.78846,188.43258786201477
13,"{'filter_height': 1, 'filter_width': 3, 'num_filters': 36, 'pool_size': 2}","{'filter_height': 3, 'filter_width': 1, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 48, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 1, 'filter_width': 7, 'num_filters': 24, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 7, 'num_filters': 24, 'pool_size': 2}",0.7588199999999999,197.00074124336243
14,"{'filter_height': 3, 'filter_width': 3, 'num_filters': 64, 'pool_size': 1}","{'filter_height': 3, 'filter_width': 5, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 7, 'filter_width': 3, 'num_filters': 64, 'pool_size': 2}","{'filter_height': 5, 'filter_width': 5, 'num_filters': 48, 'pool_size': 1}","{'filter_height': 1, 'filter_width': 1, 'num_filters': 24, 'pool_size': 2}","{'filter_height': 7, 'filter_width': 7, 'num_filters': 36, 'pool_size': 1}",0.8242,414.74534463882446
