Epoch,train acc,val acc,quan acc
1,0.34256,0.4709,0.252
2,0.46294,0.537,0.413
3,0.52382,0.5984,0.492
4,0.5659,0.6265,0.5478
5,0.58666,0.6402,0.5562
6,0.60796,0.636,0.5662
7,0.62306,0.6628,0.6149
8,0.63268,0.6687,0.6389
9,0.64226,0.6978,0.6099
10,0.65118,0.6974,0.6324
11,0.65938,0.7044,0.6376
12,0.66338,0.7184,0.6032
13,0.6697,0.7205,0.6017
14,0.67626,0.7381,0.6071
15,0.68382,0.7389,0.6411
16,0.68972,0.7369,0.6469
17,0.69348,0.7419,0.651
18,0.69558,0.7525,0.6518
19,0.69964,0.7467,0.652
20,0.70588,0.7439,0.6635
21,0.70772,0.7594,0.6673
22,0.7115,0.7627,0.666
23,0.71456,0.751,0.652
24,0.72028,0.7564,0.6304
25,0.7197,0.7673,0.6282
26,0.72336,0.7604,0.6179
27,0.7244,0.7743,0.6236
28,0.72644,0.7659,0.5361
29,0.72598,0.7757,0.632
30,0.72972,0.7659,0.6248
31,0.73238,0.7731,0.5617
32,0.73584,0.7779,0.6046
33,0.73702,0.7821,0.6089
34,0.73632,0.7805,0.626
35,0.73824,0.7866,0.5195
36,0.7413,0.7846,0.5959
37,0.74202,0.7822,0.5806
38,0.74232,0.7771,0.5307
39,0.74302,0.783,0.5378
40,0.74544,0.7864,0.5051
41,0.75864,0.7975,0.5251
42,0.76582,0.8014,0.5552
43,0.76626,0.802,0.5331
44,0.76912,0.8047,0.5743
45,0.76838,0.8032,0.5576
46,0.76992,0.8047,0.5799
47,0.77136,0.8054,0.5542
48,0.7718,0.8068,0.5204
49,0.77204,0.8111,0.5301
50,0.77282,0.8054,0.5512
51,0.77372,0.8082,0.5592
52,0.77276,0.8068,0.5519
53,0.77228,0.8087,0.5666
54,0.77692,0.8067,0.5507
55,0.77586,0.8107,0.544
56,0.77426,0.8101,0.536
57,0.7756,0.8127,0.5713
58,0.77542,0.8104,0.5679
59,0.77706,0.8143,0.587
60,0.77884,0.8113,0.5991
61,0.77844,0.8128,0.5806
62,0.77898,0.8124,0.5686
63,0.77546,0.8124,0.5558
64,0.78068,0.8125,0.5744
65,0.77902,0.8119,0.5732
66,0.77846,0.8151,0.5921
67,0.77986,0.8119,0.5873
68,0.78048,0.8153,0.6113
69,0.78102,0.8144,0.609
70,0.77966,0.8125,0.5934
71,0.78078,0.8138,0.619
72,0.78028,0.8117,0.5913
73,0.78192,0.8128,0.5889
74,0.78124,0.812,0.6044
75,0.78058,0.8162,0.5897
76,0.78134,0.8144,0.5935
77,0.78186,0.8162,0.5964
78,0.7839,0.8174,0.593
79,0.78332,0.8128,0.5831
80,0.7812,0.8154,0.5871
81,0.78202,0.8217,0.6003
82,0.78646,0.8144,0.6002
83,0.7861,0.8181,0.5994
84,0.78698,0.8162,0.5867
85,0.78702,0.8169,0.5985
86,0.78276,0.8168,0.6008
87,0.78518,0.816,0.5929
88,0.78442,0.8207,0.5935
89,0.7861,0.82,0.6016
90,0.78716,0.8191,0.594
91,0.78896,0.8193,0.6243
92,0.7873,0.8204,0.6015
93,0.78532,0.8205,0.6204
94,0.78604,0.8177,0.6149
95,0.78582,0.8181,0.5958
96,0.78648,0.8182,0.604
97,0.78646,0.8208,0.6024
98,0.78776,0.8194,0.6225
99,0.7861,0.8213,0.6112
100,0.78828,0.8166,0.6094
101,0.78662,0.8202,0.603
102,0.78724,0.8195,0.6145
103,0.78934,0.8158,0.6144
104,0.78558,0.8197,0.6118
105,0.78828,0.8192,0.605
106,0.78688,0.8183,0.6135
107,0.78812,0.819,0.6089
108,0.78942,0.8174,0.6104
109,0.7885,0.8159,0.6095
110,0.7885,0.817,0.6164
111,0.79136,0.8184,0.6231
112,0.78698,0.8183,0.5985
113,0.78846,0.8175,0.6204
114,0.78574,0.8193,0.6458
115,0.7889,0.8232,0.6222
116,0.78984,0.8191,0.6282
117,0.7869,0.8206,0.6143
118,0.78822,0.8206,0.6191
119,0.7886,0.821,0.6133
120,0.78892,0.8186,0.6189
121,0.78846,0.8194,0.615
122,0.79018,0.8204,0.6267
123,0.78848,0.821,0.6268
124,0.78876,0.8209,0.6353
125,0.78826,0.8193,0.6355
126,0.78862,0.8178,0.6076
127,0.79116,0.8178,0.6181
128,0.78882,0.8207,0.6109
129,0.7896,0.821,0.6181
130,0.78878,0.8212,0.6139
131,0.78818,0.8189,0.5985
132,0.7897,0.8205,0.6126
133,0.789,0.8198,0.6115
134,0.79024,0.8204,0.6187
135,0.79056,0.8192,0.6203
136,0.7918,0.8177,0.6183
137,0.7892,0.8215,0.6061
138,0.79004,0.8193,0.6227
139,0.79272,0.8223,0.6184
140,0.7915,0.8198,0.6156
141,0.79034,0.822,0.6015
142,0.79066,0.8208,0.63
143,0.78944,0.8207,0.6027
144,0.79004,0.8219,0.6064
145,0.78938,0.8201,0.6325
146,0.79256,0.8201,0.6076
147,0.78974,0.8225,0.5909
148,0.79068,0.8192,0.6056
149,0.793,0.8223,0.5898
150,0.79018,0.8221,0.6113
